model,BA_mean,BA_sd,MacroF1_mean,MacroF1_sd,F1control_mean,F1control_sd,F1pd_mean,F1pd_sd,BA_se,MacroF1_se,F1control_se,F1pd_se
Grassmann Projection SVM + Grassmann-SMOTE (ours),0.780095643253538,0.06453621696431226,0.7880781620074501,0.061284645860194366,0.6787088237257889,0.09586153076096683,0.8974475002891114,0.031747003969919314,0.028861473628575465,0.027407326824079134,0.04287057984174179,0.014197691791739055
BalancedRandomForest,0.7473948763422448,0.048996018362964744,0.727439573320537,0.05414321469907028,0.6102390074803867,0.08054699442909416,0.8446401391606871,0.028612594754317145,0.021911685537283426,0.024213581717497393,0.03602171098535028,0.012795941376661405
SMOTE + LogReg,0.7403227008490166,0.09880494163438006,0.7469692062323641,0.10274497790182499,0.6171934731934732,0.1544111065083709,0.876744939271255,0.052016740246391746,0.044186913201474595,0.04594895098703888,0.0690547461267355,0.02326259343177622
LogReg (class_weight='balanced'),0.7345100924048292,0.10606885829749682,0.7388322751801012,0.1085404969454726,0.6068984155940678,0.16123713627161756,0.8707661347661346,0.05756363629095032,0.047435435489799095,0.048540785896337,0.07210743944014678,0.025743240755727755
LinearSVC (class_weight='balanced'),0.7067194619826199,0.11686306030283822,0.713821716906385,0.12225818678020164,0.5704344351300873,0.17347653163408594,0.8572089986826829,0.07243847413054025,0.05226274937916068,0.0546755232892794,0.07758106344694177,0.032395470468449594
